[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/uch/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/ue/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/up/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/upn/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/ups/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/uu/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/aac/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/aan/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/aas/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:36 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/abo/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:37 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/acsch/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:37 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/amch/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:37 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/sede-regional/anop/  have been purged, triggered by action: edit_terms 
